expt.id,expt.date,plate.name,plate.id,well,uid,cell.line,drug1,drug1.conc,drug1.units,drug2,drug2.conc,drug2.units,orig.cell.count,rate,rate.95ci,cld,cld2,loewe
HTS018,2017-07-28,PC9c1-O1a,95662.0,H13,PC9c1-O1a_H13,PC9c1,osimertinib,0.0,M,ensartinib,4e-06,M,69.0,0.00857,0.00146,PC9c1_osimertinib,PC9c1_osimertinib_ensartinib,
HTS018,2017-07-28,PC9c1-O1a,95662.0,H14,PC9c1-O1a_H14,PC9c1,osimertinib,0.0,M,ensartinib,1e-06,M,44.0,0.03914,0.00141,PC9c1_osimertinib,PC9c1_osimertinib_ensartinib,
HTS018,2017-07-28,PC9c1-O1a,95662.0,H15,PC9c1-O1a_H15,PC9c1,osimertinib,0.0,M,ensartinib,2.5e-07,M,54.0,0.03932,0.001,PC9c1_osimertinib,PC9c1_osimertinib_ensartinib,
HTS018,2017-07-28,PC9c1-O1a,95662.0,H16,PC9c1-O1a_H16,PC9c1,osimertinib,0.0,M,ensartinib,6.3e-08,M,63.0,0.037689999999999994,0.0009199999999999999,PC9c1_osimertinib,PC9c1_osimertinib_ensartinib,
HTS018,2017-07-28,PC9c1-O1a,95662.0,H17,PC9c1-O1a_H17,PC9c1,osimertinib,0.0,M,ensartinib,1.6e-08,M,60.0,0.0391,0.0008300000000000001,PC9c1_osimertinib,PC9c1_osimertinib_ensartinib,
HTS018,2017-07-28,PC9c1-O1a,95662.0,H18,PC9c1-O1a_H18,PC9c1,osimertinib,0.0,M,ensartinib,3.9e-09,M,55.0,0.039169999999999996,0.00065,PC9c1_osimertinib,PC9c1_osimertinib_ensartinib,
HTS018,2017-07-28,PC9c1-O1a,95662.0,H19,PC9c1-O1a_H19,PC9c1,osimertinib,0.0,M,ensartinib,9.800000000000001e-10,M,62.0,0.03899,0.00125,PC9c1_osimertinib,PC9c1_osimertinib_ensartinib,
HTS018,2017-07-28,PC9c1-O1a,95662.0,H20,PC9c1-O1a_H20,PC9c1,osimertinib,0.0,M,ensartinib,2.4e-10,M,61.0,0.03854,0.0009199999999999999,PC9c1_osimertinib,PC9c1_osimertinib_ensartinib,
HTS018,2017-07-28,PC9c1-O1a,95662.0,H21,PC9c1-O1a_H21,PC9c1,osimertinib,0.0,M,ensartinib,6.100000000000001e-11,M,37.0,0.04083,0.00066,PC9c1_osimertinib,PC9c1_osimertinib_ensartinib,
HTS018,2017-07-28,PC9c1-O1a,95662.0,O13,PC9c1-O1a_O13,PC9c1,osimertinib,0.0,M,ceritinib,4e-06,M,50.0,0.035410000000000004,0.00116,PC9c1_osimertinib,PC9c1_osimertinib_ceritinib,
HTS018,2017-07-28,PC9c1-O1a,95662.0,O14,PC9c1-O1a_O14,PC9c1,osimertinib,0.0,M,ceritinib,1e-06,M,39.0,0.04141,0.0015300000000000001,PC9c1_osimertinib,PC9c1_osimertinib_ceritinib,
HTS018,2017-07-28,PC9c1-O1a,95662.0,O15,PC9c1-O1a_O15,PC9c1,osimertinib,0.0,M,ceritinib,2.5e-07,M,50.0,0.037239999999999995,0.00147,PC9c1_osimertinib,PC9c1_osimertinib_ceritinib,
HTS018,2017-07-28,PC9c1-O1a,95662.0,O16,PC9c1-O1a_O16,PC9c1,osimertinib,0.0,M,ceritinib,6.3e-08,M,51.0,0.04133,0.00116,PC9c1_osimertinib,PC9c1_osimertinib_ceritinib,
HTS018,2017-07-28,PC9c1-O1a,95662.0,O17,PC9c1-O1a_O17,PC9c1,osimertinib,0.0,M,ceritinib,1.6e-08,M,67.0,0.03814,0.00059,PC9c1_osimertinib,PC9c1_osimertinib_ceritinib,
HTS018,2017-07-28,PC9c1-O1a,95662.0,O18,PC9c1-O1a_O18,PC9c1,osimertinib,0.0,M,ceritinib,3.9e-09,M,64.0,0.03975,0.00058,PC9c1_osimertinib,PC9c1_osimertinib_ceritinib,
