expt.id,expt.date,plate.name,plate.id,well,uid,cell.line,drug1,drug1.conc,drug1.units,drug2,drug2.conc,drug2.units,rate,rate.95ci,cld,cld2,loewe
HTS015,2017-06-02,PC9c1-D6a,93974.0,K02,PC9c1-D6a_K02,PC9c1,abexinostat,3.06e-07,M,osimertinib,0.0,M,0.02043,0.00074,PC9c1_Abexinostat,PC9c1_Abexinostat_0,
HTS015,2017-06-02,PC9c1-D6a,93974.0,K03,PC9c1-D6a_K03,PC9c1,abexinostat,9.28e-08,M,osimertinib,0.0,M,0.037219999999999996,0.00133,PC9c1_Abexinostat,PC9c1_Abexinostat_0,
HTS015,2017-06-02,PC9c1-D6a,93974.0,K04,PC9c1-D6a_K04,PC9c1,abexinostat,2.81e-08,M,osimertinib,0.0,M,0.03525,0.00114,PC9c1_Abexinostat,PC9c1_Abexinostat_0,
HTS015,2017-06-02,PC9c1-D6a,93974.0,K05,PC9c1-D6a_K05,PC9c1,abexinostat,8.5e-09,M,osimertinib,0.0,M,0.04024,0.00139,PC9c1_Abexinostat,PC9c1_Abexinostat_0,
HTS015,2017-06-02,PC9c1-D6a,93974.0,K06,PC9c1-D6a_K06,PC9c1,abexinostat,2.6e-09,M,osimertinib,0.0,M,0.0406,0.00091,PC9c1_Abexinostat,PC9c1_Abexinostat_0,
HTS015,2017-06-02,PC9c1-D6a,93974.0,K07,PC9c1-D6a_K07,PC9c1,abexinostat,8e-10,M,osimertinib,0.0,M,0.03857,0.0013,PC9c1_Abexinostat,PC9c1_Abexinostat_0,
HTS015,2017-06-02,PC9c1-D6a,93974.0,K08,PC9c1-D6a_K08,PC9c1,abexinostat,0.0,M,osimertinib,0.0,M,0.03986,0.00121,PC9c1_Abexinostat,PC9c1_Abexinostat_0,
HTS015,2017-06-02,PC9c1-D6a,93974.0,L02,PC9c1-D6a_L02,PC9c1,abexinostat,3.06e-07,M,osimertinib,2e-09,M,0.0195,0.00143,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-09,0.5262011992457933
HTS015,2017-06-02,PC9c1-D6a,93974.0,L03,PC9c1-D6a_L03,PC9c1,abexinostat,9.28e-08,M,osimertinib,2e-09,M,0.02522,0.00091,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-09,0.26996091379561743
HTS015,2017-06-02,PC9c1-D6a,93974.0,L04,PC9c1-D6a_L04,PC9c1,abexinostat,2.81e-08,M,osimertinib,2e-09,M,0.02475,0.00107,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-09,0.11021300553058082
HTS015,2017-06-02,PC9c1-D6a,93974.0,L05,PC9c1-D6a_L05,PC9c1,abexinostat,8.5e-09,M,osimertinib,2e-09,M,0.02428,0.00109,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-09,0.061749220493600696
HTS015,2017-06-02,PC9c1-D6a,93974.0,L06,PC9c1-D6a_L06,PC9c1,abexinostat,2.6e-09,M,osimertinib,2e-09,M,0.02349,0.00112,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-09,0.045992356047265974
HTS015,2017-06-02,PC9c1-D6a,93974.0,L07,PC9c1-D6a_L07,PC9c1,abexinostat,8e-10,M,osimertinib,2e-09,M,0.02045,0.0019399999999999999,PC9c1_Abexinostat,PC9c1_Abexinostat_2e-09,0.035425103272011024
