column,row,cell.count,time,well,nl2,drug1,drug1.conc,drug1.units,drug2,drug2.conc,drug2.units,expt.date,cell.line,plate.id,expt.id,per_via,per_via_std
2,B,273,0,B02,0,linsitinib,0,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.513975884,0.0354960362
3,B,256,0,B03,0,linsitinib,0.000005,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3409939432,0.0235496134
4,B,310,0,B04,0,linsitinib,0.0000025,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3392939,0.0234322056
5,B,310,0,B05,0,linsitinib,0.00000125,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3278749417,0.0226435932
6,B,332,0,B06,0,linsitinib,0.000000625,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3589766906,0.0247915321
7,B,243,0,B07,0,linsitinib,3.125E-07,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.4018435075,0.0277519863
8,B,283,0,B08,0,linsitinib,1.5625E-07,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.4095449174,0.0282838586
9,B,273,0,B09,0,linsitinib,7.8125E-08,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.4556612844,0.0314687322
10,B,284,0,B10,0,linsitinib,3.9063E-08,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.4416543796,0.0305013919
11,B,218,0,B11,0,linsitinib,1.9531E-08,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.5074096603,0.0350425618
2,C,271,0,C02,0,linsitinib,0,M,osimertinib,0.0000002,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3974487327,0.0274484758
3,C,371,0,C03,0,linsitinib,0.000005,M,osimertinib,0.0000002,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3194351699,0.0220607284
4,C,410,0,C04,0,linsitinib,0.0000025,M,osimertinib,0.0000002,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3252069812,0.0224593393
5,C,410,0,C05,0,linsitinib,0.00000125,M,osimertinib,0.0000002,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3082895179,0.021290991
6,C,440,0,C06,0,linsitinib,0.000000625,M,osimertinib,0.0000002,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3401461129,0.0234910608
7,C,486,0,C07,0,linsitinib,3.125E-07,M,osimertinib,0.0000002,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3480033103,0.024033692
8,C,399,0,C08,0,linsitinib,1.5625E-07,M,osimertinib,0.0000002,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3536800077,0.0244257343
9,C,392,0,C09,0,linsitinib,7.8125E-08,M,osimertinib,0.0000002,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3788159993,0.026161668
10,C,344,0,C10,0,linsitinib,3.9063E-08,M,osimertinib,0.0000002,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3881995346,0.0268097107
11,C,309,0,C11,0,linsitinib,1.9531E-08,M,osimertinib,0.0000002,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3136898779,0.0216639489
2,D,303,0,D02,0,linsitinib,0,M,osimertinib,0.0000001,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3101959795,0.0214226544
3,D,446,0,D03,0,linsitinib,0.000005,M,osimertinib,0.0000001,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.2917655658,0.0201498191
4,D,505,0,D04,0,linsitinib,0.0000025,M,osimertinib,0.0000001,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3205798531,0.0221397821
5,D,522,0,D05,0,linsitinib,0.00000125,M,osimertinib,0.0000001,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3295812917,0.0227614365
6,D,514,0,D06,0,linsitinib,0.000000625,M,osimertinib,0.0000001,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3169442292,0.0218886998
7,D,556,0,D07,0,linsitinib,3.125E-07,M,osimertinib,0.0000001,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3397050484,0.0234606002
8,D,542,0,D08,0,linsitinib,1.5625E-07,M,osimertinib,0.0000001,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3269103704,0.0225769782
9,D,569,0,D09,0,linsitinib,7.8125E-08,M,osimertinib,0.0000001,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3695564354,0.025522187
10,D,462,0,D10,0,linsitinib,3.9063E-08,M,osimertinib,0.0000001,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3516675464,0.0242867503
