,expt.id,expt.date,plate.name,plate.id,well,uid,cell.line,time,drug1,drug1.conc,drug1.units,drug2,drug2.conc,drug2.units,cell.count,ch2.pos,image.time,orig.cell.count,ch2posfrac,per_via,per_via_std
0,HTS018,2017-07-28,PC9c1-O1a,95633,O02,PC9c1-O1a_O02,PC9c1,-16.5,control,0.0,M,control,0.0,M,40,0,2017-07-27 22:31:34,40,0.0,0.915635333201,0.0626156166553
1,HTS018,2017-07-28,PC9c1-O1a,95633,N02,PC9c1-O1a_N02,PC9c1,-16.5,control,0.0,M,control,0.0,M,37,0,2017-07-27 22:31:34,37,0.0,0.978064189274,0.0668848067776
2,HTS018,2017-07-28,PC9c1-O1a,95633,M02,PC9c1-O1a_M02,PC9c1,-16.5,control,0.0,M,control,0.0,M,35,0,2017-07-27 22:31:34,35,0.0,0.845306158643,0.0578061641646
3,HTS018,2017-07-28,PC9c1-O1a,95633,L02,PC9c1-O1a_L02,PC9c1,-16.5,control,0.0,M,control,0.0,M,38,0,2017-07-27 22:31:34,38,0.0,1.02337071387,0.0699830882368
4,HTS018,2017-07-28,PC9c1-O1a,95633,K02,PC9c1-O1a_K02,PC9c1,-16.5,control,0.0,M,control,0.0,M,40,0,2017-07-27 22:31:34,40,0.0,0.87159281392,0.0596037740539
5,HTS018,2017-07-28,PC9c1-O1a,95633,J02,PC9c1-O1a_J02,PC9c1,-16.5,control,0.0,M,control,0.0,M,27,0,2017-07-27 22:31:34,27,0.0,1.01224379074,0.0692221748817
6,HTS018,2017-07-28,PC9c1-O1a,95633,I02,PC9c1-O1a_I02,PC9c1,-16.5,control,0.0,M,control,0.0,M,40,0,2017-07-27 22:31:34,40,0.0,0.696264793059,0.047613987569
7,HTS018,2017-07-28,PC9c1-O1a,95633,H02,PC9c1-O1a_H02,PC9c1,-16.5,control,0.0,M,control,0.0,M,49,0,2017-07-27 22:31:34,49,0.0,0.971142783592,0.0664114872483
8,HTS018,2017-07-28,PC9c1-O1a,95633,G02,PC9c1-O1a_G02,PC9c1,-16.5,control,0.0,M,control,0.0,M,30,0,2017-07-27 22:31:34,30,0.0,0.899374886335,0.0615036478718
9,HTS018,2017-07-28,PC9c1-O1a,95633,F02,PC9c1-O1a_F02,PC9c1,-16.5,control,0.0,M,control,0.0,M,44,0,2017-07-27 22:31:34,44,0.0,0.904016118323,0.061821037986
10,HTS018,2017-07-28,PC9c1-O1a,95633,E02,PC9c1-O1a_E02,PC9c1,-16.5,control,0.0,M,control,0.0,M,49,0,2017-07-27 22:31:34,49,0.0,0.899079221454,0.061483428863
11,HTS018,2017-07-28,PC9c1-O1a,95633,D02,PC9c1-O1a_D02,PC9c1,-16.5,control,0.0,M,control,0.0,M,40,0,2017-07-27 22:31:34,40,0.0,0.764167771858,0.0522575249425
12,HTS018,2017-07-28,PC9c1-O1a,95633,C02,PC9c1-O1a_C02,PC9c1,-16.5,control,0.0,M,control,0.0,M,47,0,2017-07-27 22:31:34,47,0.0,0.826715478097,0.0565348426197
13,HTS018,2017-07-28,PC9c1-O1a,95633,B02,PC9c1-O1a_B02,PC9c1,-16.5,control,0.0,M,control,0.0,M,45,0,2017-07-27 22:31:34,45,0.0,0.888596922036,0.0607665980263
14,HTS018,2017-07-28,PC9c1-O1a,95633,B03,PC9c1-O1a_B03,PC9c1,-16.5,osimertinib,2e-07,M,cisplatin,4e-07,M,45,0,2017-07-27 22:31:34,45,0.0,0.359853922574,0.0246085689912
15,HTS018,2017-07-28,PC9c1-O1a,95633,C03,PC9c1-O1a_C03,PC9c1,-16.5,osimertinib,5e-08,M,cisplatin,4e-07,M,45,1,2017-07-27 22:31:34,45,0.0222222222222,0.298597969956,0.0204195877364
16,HTS018,2017-07-28,PC9c1-O1a,95633,D03,PC9c1-O1a_D03,PC9c1,-16.5,osimertinib,1.2e-08,M,cisplatin,4e-07,M,30,0,2017-07-27 22:31:34,30,0.0,0.372402858508,0.0254667265276
17,HTS018,2017-07-28,PC9c1-O1a,95633,E03,PC9c1-O1a_E03,PC9c1,-16.5,osimertinib,3.1e-09,M,cisplatin,4e-07,M,40,0,2017-07-27 22:31:34,40,0.0,0.522128646569,0.0357057072754
18,HTS018,2017-07-28,PC9c1-O1a,95633,F03,PC9c1-O1a_F03,PC9c1,-16.5,osimertinib,7.8e-10,M,cisplatin,4e-07,M,35,1,2017-07-27 22:31:34,35,0.0285714285714,0.593907672848,0.0406143077088
19,HTS018,2017-07-28,PC9c1-O1a,95633,G03,PC9c1-O1a_G03,PC9c1,-16.5,osimertinib,2e-10,M,cisplatin,4e-07,M,40,0,2017-07-27 22:31:34,40,0.0,0.82339122224,0.0563075137663
20,HTS018,2017-07-28,PC9c1-O1a,95633,H03,PC9c1-O1a_H03,PC9c1,-16.5,osimertinib,0.0,M,cisplatin,4e-07,M,35,0,2017-07-27 22:31:34,35,0.0,0.761562147255,0.0520793396046
21,HTS018,2017-07-28,PC9c1-O1a,95633,I03,PC9c1-O1a_I03,PC9c1,-16.5,osimertinib,2e-07,M,everolimus,4e-06,M,33,0,2017-07-27 22:31:34,33,0.0,0.189665880339,0.0129702793517
