,Unnamed: 0,index,expt.id,expt.date,plate.name,plate.id,well,uid,cell.line,time,drug1,drug1.conc,drug1.units,drug2,drug2.conc,drug2.units,cell.count,ch2.pos,image.time,orig.cell.count,per_via,per_via_std
23300,23300,24460,HTS022,2017-10-28,2058-R1,97976,B02,2058-R1_B02,A2058,0.7,control,0.0,M,control,0.0,M,107,0,2017-10-27 14:43:04,107,0.877995898797,0.0802363032163
23320,23320,24480,HTS022,2017-10-28,2058-R1,97976,B03,2058-R1_B03,A2058,0.7,dabrafenib,4e-07,M,selumetinib,4e-06,M,103,0,2017-10-27 14:43:04,103,0.451773053547,0.0412856139294
23340,23340,24500,HTS022,2017-10-28,2058-R1,97976,B04,2058-R1_B04,A2058,0.7,dabrafenib,4e-07,M,selumetinib,1e-06,M,82,0,2017-10-27 14:43:04,82,0.450176022312,0.0411396680513
23360,23360,24520,HTS022,2017-10-28,2058-R1,97976,B05,2058-R1_B05,A2058,0.7,dabrafenib,4e-07,M,selumetinib,2.5e-07,M,111,0,2017-10-27 14:43:04,111,0.524315799615,0.0479149863191
23380,23380,24540,HTS022,2017-10-28,2058-R1,97976,B06,2058-R1_B06,A2058,0.7,dabrafenib,4e-07,M,selumetinib,6.3e-08,M,72,0,2017-10-27 14:43:04,72,0.66424953615,0.0607029341104
23400,23400,24560,HTS022,2017-10-28,2058-R1,97976,B07,2058-R1_B07,A2058,0.7,dabrafenib,4e-07,M,selumetinib,1.6e-08,M,108,0,2017-10-27 14:43:04,108,0.489169854917,0.0447031482233
23420,23420,24580,HTS022,2017-10-28,2058-R1,97976,B08,2058-R1_B08,A2058,0.7,dabrafenib,4e-07,M,selumetinib,3.9e-09,M,97,0,2017-10-27 14:43:04,97,0.482609918485,0.0441036635909
23440,23440,24600,HTS022,2017-10-28,2058-R1,97976,B09,2058-R1_B09,A2058,0.7,dabrafenib,4e-07,M,selumetinib,9.8e-10,M,41,0,2017-10-27 14:43:04,41,0.709117223645,0.0648032008467
23460,23460,24620,HTS022,2017-10-28,2058-R1,97976,B10,2058-R1_B10,A2058,0.7,dabrafenib,4e-07,M,selumetinib,2.4e-10,M,67,0,2017-10-27 14:43:04,67,0.518109015354,0.0473477747585
23480,23480,24640,HTS022,2017-10-28,2058-R1,97976,B11,2058-R1_B11,A2058,0.7,dabrafenib,4e-07,M,selumetinib,6.1e-11,M,64,0,2017-10-27 14:43:04,64,0.608404124187,0.0555994599214
23500,23500,24660,HTS022,2017-10-28,2058-R1,97976,B12,2058-R1_B12,A2058,0.7,dabrafenib,4e-07,M,control,0.0,M,97,0,2017-10-27 14:43:04,97,0.577429401115,0.0527688119926
23520,23520,24680,HTS022,2017-10-28,2058-R1,97976,B13,2058-R1_B13,A2058,0.7,dabrafenib,4e-07,M,cobimetinib,8e-07,M,83,0,2017-10-27 14:43:04,83,0.443064669002,0.0404897917806
23540,23540,24700,HTS022,2017-10-28,2058-R1,97976,B14,2058-R1_B14,A2058,0.7,dabrafenib,4e-07,M,cobimetinib,2e-07,M,104,0,2017-10-27 14:43:04,104,0.477594456301,0.0436453218776
23560,23560,24720,HTS022,2017-10-28,2058-R1,97976,B15,2058-R1_B15,A2058,0.7,dabrafenib,4e-07,M,cobimetinib,5e-08,M,76,0,2017-10-27 14:43:04,76,0.467059277784,0.0426825568133
23580,23580,24740,HTS022,2017-10-28,2058-R1,97976,B16,2058-R1_B16,A2058,0.7,dabrafenib,4e-07,M,cobimetinib,1.2e-08,M,84,0,2017-10-27 14:43:04,84,0.456736772308,0.0417392270319
