,emax,ec50,h
LY294002,0.0,0.00040047760645209324,0.2660784697467447
Quercetin,0.0,0.005426271358539063,0.2288191200009952
TyrphostinAG370,0.0,3.064349323084433e-11,-0.31559935391416105
ML9,0.0,4.737645998605788e-05,0.42782850906538034
SP600125,0.0,0.026119451248263436,0.19987291327912832
Harringtonine,0.0,0.00024547638464673114,0.08598109694930678
PP2,0.0,1.709643521113237e-05,0.45585263290028394
U0126,0.0,3.659285208690474e-17,-0.08381770352180058
Aprepitant,0.0,5.3032475323280015e-08,-2.1060510491987965
Ivacaftor,0.0,0.004707106307707195,0.33794008587272106
Sunitinib,0.0,5.727792400442784e-06,0.8433356142291987
Amiodarone,0.0,2.6826432333704634e-05,1.112814933888372
Loratadine,0.0,2.2519348465413823e-15,-0.181069104868236
Verteporfin,0.0,0.0018473644430492837,0.33764508889641326
Bazedoxifene,0.0,,
Pimobendan,0.0,0.005273052717451481,0.22085686395169357
Acetylcysteine,0.0,4.4417267781801785e+92,0.015024913161047112
Cephalomannine,0.0,1.1857137448921607e-12,0.11481402518122519
Dronedarone,0.0,1.7865812448500756e-06,1.0001275461394223
Thioridazine,0.0,3.650531083408915e-06,0.9921182609694827
Givinostat,0.0,1.6258122506915443e-06,1.2306339106404112
Naftopidil,0.0,0.00029643770637703893,0.35316949029852635
bosutinib,0.0,5.554654412543028e-07,0.7231662484783864
Pracinostat,0.0,4.160634044951554e-07,1.460630259484733
PrimaquineDiphosphate,0.0,7.601343194058403e-07,1.1526699538701644
Nebivolol,0.0,6.31292241276242e-05,0.4609159177722755
Carmustine,0.0,2.794896980205265e-07,0.6995673581952427
VinorelbineTartrate,0.0,3.6770490916406124e-07,0.8069951048995179
GSK994854A,0.0,1.944755200988085e-06,0.8363379385155867
GW694590A,0.0,4.2540307384055845e-06,1.5504134482496341
SB245392,0.0,2.7164084615324843e-06,1.239225781308043
GW458787A,0.0,2.9108477937260874e-06,0.8489987475819485
GW770249X,0.0,1.2377236505804765e-36,-0.041066309652513254
GSK1751853A,0.0,3.4954956148320216e-06,0.970827329313424
GW644007X,0.0,9.539363238477496e-06,1.0299552827369027
SB253226,0.0,1.148378598258547e-06,1.0028060393511853
5Iodotubericidin,0.0,2.2345612331192847e-07,1.6802032433069416
Bendroflumethiazide,0.0,3.990503418479254,0.15335864922187434
M344,0.0,8.330465515762695e-07,1.152647452831346
AG 879,0.0,1.7928516636075063e-101,-0.012518139281189231
BML259,0.0,3.316477974987805e-06,0.5617588513730212
quisinostat,0.0,8.736914487484077e-09,0.6158291148201135
BeclomethasoneDipropionate,0.0,,
Entinostat,0.0,1.9816007584900562e-06,0.8561236347020751
Nateglinide,0.0,3.764455820462787e-06,1.1039435599254823
Vinorelbine,0.0,8.485231525917013e-08,1.3406418761177727
Mocetinostat,0.0,2.5942603648159266e-07,1.0522512721799635
panobinostat,0.0,9.685067639023475e-09,0.7437982875221738
Vindesine,0.0,2.061966497932493e-08,0.8628482020908602
Docetaxel,0.0,3.786331709292838e-09,0.452123018764809
Rapamycin,0.0,1.2775577084403983e-07,0.16457473644697856
Abexinostat,0.0,2.6868423584779486e-07,1.4220861194784156
Paclitaxel,0.0,9.60407564121014e-10,0.3400656753956301
trametinib,0.0,1.5578307984436226e-07,0.9711797746979239
osimertinib,0.0,2.6553105770341924e-10,0.10917258219222377
