,emax,ec50,h,ec50_CI,h_CI
LY294002,7.38318683236e-14,1.23939413674e-05,2.07161425142,0.000400477606452,0.266078469747
Quercetin,0.661684756196,0.225602912934,2.5240943541,0.00542627135854,0.228819120001
TyrphostinAG370,0.618592524491,0.183441995286,2.5499806537,3.06434932308e-11,-0.315599353914
ML9,0.848772235436,1.25537460556e-07,19.705429958,4.73764599861e-05,0.427828509065
SP600125,,,,0.0261194512483,0.199872913279
Harringtonine,3.84789996144e-11,0.0810868395916,0.0625436526005,0.000245476384647,0.0859810969493
PP2,0.720259646355,2.59229832383e-07,1.46166950252,1.70964352111e-05,0.4558526329
U0126,3.16623339649e-11,2.64511366611e-05,1.61070323054,3.65928520869e-17,-0.0838177035218
Aprepitant,0.621204838667,0.18582953105,2.54861100208,5.30324753233e-08,-2.1060510492
Ivacaftor,0.881836589584,3.07818361106e-06,19.9672628833,0.00470710630771,0.337940085873
Sunitinib,0.00129580485304,9.60273890836e-06,16.8463944991,5.72779240044e-06,0.843335614229
Amiodarone,2.47271698476e-05,1.10368126622e-05,11.0851848932,2.68264323337e-05,1.11281493389
Loratadine,2.64923263096e-31,0.000813690856577,0.519176586938,2.25193484654e-15,-0.181069104868
Verteporfin,2.23186828854e-17,0.0376444346306,0.24159478468,0.00184736444305,0.337645088896
Bazedoxifene,0.0113713999021,9.52570124184e-06,15.9093778649,,
Pimobendan,5.28084139948e-13,0.000860434254993,0.311524297626,0.00527305271745,0.220856863952
Acetylcysteine,0.914733729181,9.5915367645e-28,4.15840063814e-15,4.44172677818e+92,0.015024913161
Cephalomannine,0.151963266792,4.05647034094e-09,0.829106879332,1.18571374489e-12,0.114814025181
Dronedarone,0.0548800396373,4.03947291623e-06,16.3046337316,1.78658124485e-06,1.00012754614
Thioridazine,0.0149327344672,9.24665689453e-06,17.1194407315,3.65053108341e-06,0.992118260969
Givinostat,0.0295996651911,8.07709663144e-06,16.4837532983,1.62581225069e-06,1.23063391064
Naftopidil,0.691287636831,3.20104986624e-06,1.68293384902,0.000296437706377,0.353169490299
bosutinib,0.189375895505,2.28562112432e-07,1.49605294794,5.55465441254e-07,0.723166248478
Pracinostat,0.624684987193,0.189051521894,2.54674196722,4.16063404495e-07,1.46063025948
PrimaquineDiphosphate,0.0116668428502,2.35068451634e-06,4.6628949597,7.60134319406e-07,1.15266995387
Nebivolol,1.0481790776e-12,7.23708066775e-06,2.16543940683,6.31292241276e-05,0.460915917772
Carmustine,0.152655633473,1.29470345079e-07,1.96252947875,2.79489698021e-07,0.699567358195
VinorelbineTartrate,0.150680595746,1.76760447089e-07,2.98793676794,3.67704909164e-07,0.8069951049
GSK994854A,0.191887504576,1.44353586861e-06,3.31074387119,1.94475520099e-06,0.836337938516
GW694590A,0.155168791131,3.15818208182e-06,18.1588298811,4.25403073841e-06,1.55041344825
SB245392,1.60850150477e-18,4.2460816869e-06,3.47112702376,2.71640846153e-06,1.23922578131
GW458787A,0.290364133427,1.21221813462e-06,1.80073772081,2.91084779373e-06,0.848998747582
GW770249X,0.621714243608,0.186287801958,2.54834481491,1.23772365058e-36,-0.0410663096525
GSK1751853A,1.32662065544e-14,4.32751383971e-06,4.09072911538,3.49549561483e-06,0.970827329313
GW644007X,0.345536402418,4.38881436321e-06,2.70334999074,9.53936323848e-06,1.02995528274
SB253226,0.174065038074,6.34262316991e-07,2.91890654825,1.14837859826e-06,1.00280603935
5Iodotubericidin,0.100447326441,1.89668101648e-07,3.31369926844,2.23456123312e-07,1.68020324331
Bendroflumethiazide,1.05172582803e-05,1.19035814966e-06,10.550102612,3.99050341848,0.153358649222
M344,0.389232877158,3.51848870206e-07,2.94621630241,8.33046551576e-07,1.15264745283
AG 879,0.601391714585,0.168593031994,2.5581987122,1.79285166361e-101,-0.0125181392812
BML259,1.50045134419e-06,1.04867483984e-06,11.2635425822,3.31647797499e-06,0.561758851373
quisinostat,0.0632475324449,7.51313379808e-09,0.945605518697,8.73691448748e-09,0.61582911482
BeclomethasoneDipropionate,0.595082063452,0.163175971888,2.560992037,,
Entinostat,0.415969582538,5.06232250061e-07,2.25959762129,1.98160075849e-06,0.856123634702
Nateglinide,0.847544459338,4.7252453573e-07,1.66540450094,3.76445582046e-06,1.10394355993
Vinorelbine,0.189408218006,5.55514139734e-08,22.0663895795,8.48523152592e-08,1.34064187612
Mocetinostat,,,,2.59426036482e-07,1.05225127218
panobinostat,0.117769824283,1.06407528812e-08,2.46853052808,9.68506763902e-09,0.743798287522
Vindesine,0.195440911451,6.69981554739e-09,3.2027204143,2.06196649793e-08,0.862848202091
Docetaxel,0.189333416767,3.50648993434e-09,2.35077530103,3.78633170929e-09,0.452123018765
Rapamycin,1.35303579858e-15,1.24127029203e-07,0.167202108832,1.27755770844e-07,0.164574736447
Abexinostat,0.000591956821849,3.03263771613e-07,20.7327910854,2.68684235848e-07,1.42208611948
Paclitaxel,0.199292129428,2.51365132044e-09,16.3382412072,9.60407564121e-10,0.340065675396
trametinib,0.464505119871,3.45706668401e-08,1.90483472603,1.55783079844e-07,0.971179774698
osimertinib_15,0.343135436417,6.12738560418e-10,1.26371898367,2.65531057703e-10,0.109172582192
osimertinib,0.263413145082,3.08634952402e-09,0.55291706456,1.81168010779e-08,0.350032068033
