,emax,ec50,h
cisplatin,0.0,5.17280232683e-06,0.330596075569
everolimus,0.0,4.29544624303e-05,0.0294046410193
ensartinib,0.0,3.34409513019e-05,0.29785013393
ceritinib,0.0,0.00149196963282,0.297466989608
methotrexate,0.0,3.46666701647e-05,0.232837038718
paclitaxel,0.0,7.34962309925e-11,0.246308222906
dasatinib,0.0,1.64632242734e-08,0.488090169234
olaparib,0.0,0.00558904741151,0.245024342408
trametinib,0.0,1.11237211195e+28,0.024863445854
selumetinib,0.0,1.62606951342e-08,0.120191348516
panobinostat,0.0,4.41984176376e-09,0.633125859778
MG132,0.0,0.000190398367675,0.21365197944
tanespimycin,0.0,6.43046954805e-09,0.333461346052
buparlisib,0.0,1.78768919687e-08,0.150077264065
cabozantinib,0.0,1.98225820723e-05,0.310946794585
carfilzomib,0.0,6.19650649382e-10,0.325149847638
dactolisib,0.0,1.33403636935e-07,0.407435990246
crizotinib,0.0,1.49741165102e-08,0.158628411834
ponatinib,0.0,4.23341395602e-07,0.535159225929
bosutinib,0.0,1.03938129792e-07,0.524336311371
ZM447439,0.0,1.20674438282e-06,0.477993031139
alisertib,0.0,6.27368612409e-09,0.223923342099
TAK632,0.0,0.00041752620791,0.218340993182
ulixertinib,0.0,3.43302626309e-07,0.811521005651
JQ1,0.0,0.00933900104092,0.164067804231
erlotinib,0.0,4.16687678961e-09,0.199609418691
afatinib,0.0,1.18930195667e-13,0.062832371126
gefitinib,0.0,1.30016222427e-07,0.675510263449
osimertinib,0.0,1.81168010779e-08,0.350032068033
