,emax,ec50,h
LY294002,0.0,0.000400477606452,0.266078469747
Quercetin,0.0,0.00542627135854,0.228819120001
TyrphostinAG370,0.0,3.06434932308e-11,-0.315599353914
ML9,0.0,4.73764599861e-05,0.427828509065
SP600125,0.0,0.0261194512483,0.199872913279
Harringtonine,0.0,0.000245476384647,0.0859810969493
PP2,0.0,1.70964352111e-05,0.4558526329
U0126,0.0,3.65928520869e-17,-0.0838177035218
Aprepitant,0.0,5.30324753233e-08,-2.1060510492
Ivacaftor,0.0,0.00470710630771,0.337940085873
Sunitinib,0.0,5.72779240044e-06,0.843335614229
Amiodarone,0.0,2.68264323337e-05,1.11281493389
Loratadine,0.0,2.25193484654e-15,-0.181069104868
Verteporfin,0.0,0.00184736444305,0.337645088896
Bazedoxifene,0.0,,
Pimobendan,0.0,0.00527305271745,0.220856863952
Acetylcysteine,0.0,4.44172677818e+92,0.015024913161
Cephalomannine,0.0,1.18571374489e-12,0.114814025181
Dronedarone,0.0,1.78658124485e-06,1.00012754614
Thioridazine,0.0,3.65053108341e-06,0.992118260969
Givinostat,0.0,1.62581225069e-06,1.23063391064
Naftopidil,0.0,0.000296437706377,0.353169490299
bosutinib,0.0,5.55465441254e-07,0.723166248478
Pracinostat,0.0,4.16063404495e-07,1.46063025948
PrimaquineDiphosphate,0.0,7.60134319406e-07,1.15266995387
Nebivolol,0.0,6.31292241276e-05,0.460915917772
Carmustine,0.0,2.79489698021e-07,0.699567358195
VinorelbineTartrate,0.0,3.67704909164e-07,0.8069951049
GSK994854A,0.0,1.94475520099e-06,0.836337938516
GW694590A,0.0,4.25403073841e-06,1.55041344825
SB245392,0.0,2.71640846153e-06,1.23922578131
GW458787A,0.0,2.91084779373e-06,0.848998747582
GW770249X,0.0,1.23772365058e-36,-0.0410663096525
GSK1751853A,0.0,3.49549561483e-06,0.970827329313
GW644007X,0.0,9.53936323848e-06,1.02995528274
SB253226,0.0,1.14837859826e-06,1.00280603935
5Iodotubericidin,0.0,2.23456123312e-07,1.68020324331
Bendroflumethiazide,0.0,3.99050341848,0.153358649222
M344,0.0,8.33046551576e-07,1.15264745283
AG 879,0.0,1.79285166361e-101,-0.0125181392812
BML259,0.0,3.31647797499e-06,0.561758851373
quisinostat,0.0,8.73691448748e-09,0.61582911482
BeclomethasoneDipropionate,0.0,,
Entinostat,0.0,1.98160075849e-06,0.856123634702
Nateglinide,0.0,3.76445582046e-06,1.10394355993
Vinorelbine,0.0,8.48523152592e-08,1.34064187612
Mocetinostat,0.0,2.59426036482e-07,1.05225127218
panobinostat,0.0,9.68506763902e-09,0.743798287522
Vindesine,0.0,2.06196649793e-08,0.862848202091
Docetaxel,0.0,3.78633170929e-09,0.452123018765
Rapamycin,0.0,1.27755770844e-07,0.164574736447
Abexinostat,0.0,2.68684235848e-07,1.42208611948
Paclitaxel,0.0,9.60407564121e-10,0.340065675396
trametinib,0.0,1.55783079844e-07,0.971179774698
osimertinib,0.0,2.65531057703e-10,0.109172582192
