,emax,ec50,h,ec50_CI,h_CI
cisplatin,1.1734897374822515e-05,5.169004404624494e-07,3.0332457686903473,5.172802326832872e-06,0.33059607556941256
everolimus,0.5422285172937477,5.634418473803988e-11,11.829668898707654,4.295446243029466e-05,0.029404641019348282
ensartinib,1.6628104581581148e-09,2.150425201757028e-06,2.7736221775531615,3.3440951301862444e-05,0.2978501339296413
ceritinib,0.7417816028955808,1.1580549388235528e-06,10.22660293393644,0.0014919696328217914,0.2974669896080963
methotrexate,0.5239362163144582,1.1859627052235808e-07,1.8757126773029753,3.4666670164704035e-05,0.23283703871781156
paclitaxel,0.13309610877056777,2.993851536028505e-11,0.4247172483342095,7.349623099250826e-11,0.24630822290642573
dasatinib,0.12785403430774966,7.413042473459385e-09,0.9452643025103878,1.6463224273364933e-08,0.48809016923382315
olaparib,0.49305288376112383,1.1274657104993874e-05,1.867600980061496,0.005589047411514376,0.2450243424083509
trametinib,0.5884830691644788,0.9999999999812015,0.05946194743305447,1.1123721119547688e+28,0.024863445854026143
selumetinib,2.0152034439301108e-17,2.4044214603909453e-08,0.10708520893871415,1.6260695134155462e-08,0.12019134851613747
panobinostat,0.01616365650638794,7.127076817690752e-09,0.989296404795147,4.419841763759707e-09,0.6331258597782152
MG132,0.24131598593196404,1.2108165767804942e-06,10.370809141214398,0.00019039836767541885,0.2136519794399592
tanespimycin,0.08621795718126095,3.4498912138458503e-09,0.4622663579856383,6.4304695480484265e-09,0.3334613460517615
buparlisib,7.534489931447968e-15,2.4556852888956206e-08,0.1406189764207352,1.7876891968652866e-08,0.1500772640652792
cabozantinib,3.9279741841815974e-30,4.347688078344111e-06,0.5598317380080718,1.982258207225464e-05,0.3109467945851581
carfilzomib,0.10727200723254898,4.1775964274240494e-10,0.8516503207757808,6.196506493823364e-10,0.32514984763757776
dactolisib,1.4001132447244162e-17,2.187299516030588e-07,0.6290842131542812,1.3340363693475178e-07,0.40743599024585586
crizotinib,5.877072310952857e-15,2.2547558417644043e-08,0.13912073958013982,1.4974116510179293e-08,0.1586284118336018
ponatinib,0.02207013813746523,5.072681690507782e-07,1.3764013849673313,4.233413956016583e-07,0.5351592259292766
bosutinib,0.04899560043178927,1.4557332662412465e-07,1.1517282904327595,1.0393812979243755e-07,0.5243363113714095
ZM447439,0.1793670772140766,4.4462617864777447e-07,3.514941774144571,1.2067443828229212e-06,0.47799303113909336
alisertib,7.590330758530276e-15,8.711189526026567e-09,0.2080408509460746,6.273686124094013e-09,0.22392334209887882
TAK632,9.634320958393284e-12,3.2690990448234152e-06,1.9789760921687656,0.00041752620791003184,0.21834099318181355
ulixertinib,0.10191648440469121,9.077327563979635e-07,17.64773178270339,3.433026263087668e-07,0.8115210056514941
JQ1,0.4909217870058028,1.041129853501814e-06,2.5895614996623695,0.00933900104091908,0.16406780423055112
erlotinib,2.1005607507613617e-12,4.703523523135977e-09,0.20169018869373417,4.166876789611538e-09,0.19960941869125542
afatinib,7.494486615637142e-11,1.8682066611155556e-14,0.05258908463113459,1.1893019566731604e-13,0.0628323711259537
gefitinib,0.32366441662749634,3.758308701113095e-09,1.5363330965829767,1.3001622242684656e-07,0.675510263448771
osimertinib,0.26341314563797724,3.0863495124361105e-09,0.5529170646534214,1.8116801077867847e-08,0.3500320680325219
