,emax,ec50,h,ec50_CI,h_CI
cisplatin,1.17437714923e-05,5.16900374319e-07,3.03324746379,5.17280232683e-06,0.330596075569
everolimus,0.542228517323,5.63445524628e-11,11.8306414027,4.29544624303e-05,0.0294046410193
ensartinib,1.64694577136e-09,2.1504252035e-06,2.77362217771,3.34409513019e-05,0.29785013393
ceritinib,0.741781602516,1.1580585466e-06,10.2263858418,0.00149196963282,0.297466989608
methotrexate,0.523936215995,1.18596270671e-07,1.87571266354,3.46666701647e-05,0.232837038718
paclitaxel,0.133096108703,2.99385153711e-11,0.424717248232,7.34962309925e-11,0.246308222906
dasatinib,0.127854035174,7.41304245522e-09,0.945264310521,1.64632242734e-08,0.488090169234
olaparib,0.493054137436,1.12746150702e-05,1.86760571445,0.00558904741151,0.245024342408
trametinib,0.588483151787,0.999999999981,0.0594619339946,1.11237211195e+28,0.024863445854
selumetinib,2.02409606752e-17,2.4044215047e-08,0.107085208521,1.62606951342e-08,0.120191348516
panobinostat,0.0161636550482,7.12707681782e-09,0.989296389932,4.41984176376e-09,0.633125859778
MG132,0.241315985951,1.21081469701e-06,10.370893296,0.000190398367675,0.21365197944
tanespimycin,0.0862179512379,3.44989136717e-09,0.462266349661,6.43046954805e-09,0.333461346052
buparlisib,7.53162713303e-15,2.45568525589e-08,0.140618976975,1.78768919687e-08,0.150077264065
cabozantinib,3.8892316574e-30,4.34768808443e-06,0.559831737461,1.98225820723e-05,0.310946794585
carfilzomib,0.107272007106,4.17759643609e-10,0.851650319988,6.19650649382e-10,0.325149847638
dactolisib,1.39942205548e-17,2.18729951824e-07,0.629084213187,1.33403636935e-07,0.407435990246
crizotinib,5.87602133969e-15,2.25475582553e-08,0.139120739824,1.49741165102e-08,0.158628411834
ponatinib,0.0220701455707,5.07268161238e-07,1.37640141912,4.23341395602e-07,0.535159225929
bosutinib,0.0489956004467,1.45573326618e-07,1.15172828838,1.03938129792e-07,0.524336311371
ZM447439,0.179367069703,4.44626194957e-07,3.51494149171,1.20674438282e-06,0.477993031139
alisertib,7.59034068034e-15,8.7111895338e-09,0.208040850723,6.27368612409e-09,0.223923342099
TAK632,1.0150474886e-11,3.26909904734e-06,1.97897612834,0.00041752620791,0.218340993182
ulixertinib,0.101916484434,9.07732760012e-07,17.6477325139,3.43302626309e-07,0.811521005651
JQ1,0.490921735142,1.04112997932e-06,2.58955927724,0.00933900104092,0.164067804231
erlotinib,2.10050950362e-12,4.70352352206e-09,0.201690188579,4.16687678961e-09,0.199609418691
afatinib,7.50063977822e-11,1.86820653208e-14,0.0525890843749,1.18930195667e-13,0.062832371126
gefitinib,0.323664417157,3.75830868148e-09,1.53633311032,1.30016222427e-07,0.675510263449
osimertinib,0.263413145082,3.08634952402e-09,0.55291706456,1.81168010779e-08,0.350032068033
