"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","generation of precursor metabolites and energy (GO:0006091)","62/375",2.10956405946574e-17,8.22519026785691e-14,3.23135013896126e-13,1.25990341918099e-09,-2.37562427651823,91.2179506323297,"GPI;ACADVL;COX7B;FASTKD1;FASTKD2;ATP5C1;OGDHL;COX6A1;ENO2;ATP5G1;HK2;HK1;PPP1CB;UQCRFS1;ACADM;GYG2;PGM1;COX8A;CACNA2D2;NDUFC1;PHKA1;SDHA;SDHB;VGF;PRKAR1A;UQCRC1;NDUFS3;NDUFS2;ALDOC;NDUFS1;UQCRC2;SLC25A5;SLC25A4;PFKFB2;NDUFB9;PRKAA2;UQCRB;STXBP1;ATP5A1;NDUFB3;ETFDH;ITPR2;ADCY2;ATP5B;UGP2;UCP2;CYC1;NDUFV1;PPARGC1A;COX10;SNCA;NDUFA8;PDHA1;NDUFA3;GFPT1;CHCHD10;COQ9;COX6C;MARCKS;OGDH;ACO2;PFKP"
"2","respiratory electron transport chain (GO:0022904)","30/112",9.78401138625946e-15,1.90739301975128e-11,2.95619663329716e-11,5.76310533661281e-08,-2.16786684887465,69.9311069808562,"NDUFB9;COX7B;UQCRB;NDUFB3;ATP5A1;ETFDH;ATP5C1;COX6A1;ATP5G1;ATP5B;UCP2;UQCRFS1;CYC1;NDUFV1;PPARGC1A;COX10;SNCA;COX8A;NDUFA8;NDUFA3;NDUFC1;COQ9;COX6C;SDHA;SDHB;UQCRC1;NDUFS3;NDUFS2;NDUFS1;UQCRC2"
"3","tricarboxylic acid cycle (GO:0006099)","15/29",7.78129589403282e-13,7.58481817270849e-10,2.45745153302659e-09,2.39540088181767e-06,-2.4458854052482,68.1958914764869,"FH;PDHA1;MDH1;IDH1;OGDHL;SDHA;SDHB;CS;SUCLA2;NNT;OGDH;SUCLG1;DLAT;ACO2;IDH3A"
"4","electron transport chain (GO:0022900)","30/115",2.12483822954631e-14,2.76158141900035e-11,5.13818412246281e-11,6.67792663116084e-08,-2.14587934918448,67.5576372325861,"NDUFB9;COX7B;UQCRB;NDUFB3;ATP5A1;ETFDH;ATP5C1;COX6A1;ATP5G1;ATP5B;UCP2;UQCRFS1;CYC1;NDUFV1;PPARGC1A;COX10;SNCA;COX8A;NDUFA8;NDUFA3;NDUFC1;COQ9;COX6C;SDHA;SDHB;UQCRC1;NDUFS3;NDUFS2;NDUFS1;UQCRC2"
"5","monocarboxylic acid metabolic process (GO:0032787)","60/473",1.15276705204232e-11,8.98927747182602e-09,9.73099359887369e-09,7.58822880840171e-06,-2.34461306888855,59.0520597643957,"PECR;GPI;ACADVL;ACAA2;ECI1;OGDHL;ENO2;HK2;HK1;GHR;MPC2;CYP4V2;PDK4;LRAT;DLAT;ACADM;ABCD1;PGM1;FADS1;PDHX;LYPLA1;ACSL1;SPHK1;ACOT12;ACSL3;ELOVL7;CYP27A1;HADHB;UGDH;BCAN;HADHA;VCAN;EHHADH;PCCB;ALDOC;SLC27A3;MGLL;ALDH9A1;PFKFB2;PRKAA2;HPGD;TYRP1;ETFDH;HSD17B12;ADIPOR1;UGP2;PPARGC1A;SNCA;DECR1;SLC16A1;PDHA1;IDH1;SCD5;GOT2;PDP1;P4HA2;SCD;OGDH;CRAT;PFKP"
"6","hemostasis (GO:0007599)","54/478",8.43575452226829e-09,4.69871526890344e-06,1.51908815620197e-06,0.0008461321030045,-2.36525924118353,43.9720299805649,"GPI;WDR1;ITGB3;ATP2A3;SLC7A11;SLC8A1;SLC8A2;ENPP4;JAK2;SOX6;ZNF385A;ABCC4;PRKCB;HBE1;ATP1B2;ATP1B1;TUBA4A;STIM1;SLC7A8;PRKAR1A;GAS6;CD44;MGLL;PDE9A;AK3;ITPR2;PRCP;SLC3A2;RASGRP2;FBLN5;PAPSS2;AKAP1;PIK3R5;LMAN1;FLNA;KIF3C;A2M;SH2B3;PTPN1;TGFB2;TGFB1;SLC16A1;HSPA5;CAV1;HPS4;FN1;ATP2B4;RAB27A;CABLES1;ATP2B2;HPS5;MERTK;PTK2;ITGA10"
"7","inorganic cation transmembrane transport (GO:0098662)","50/440",2.50071548530738e-08,1.21878620965168e-05,3.21284621161964e-06,0.00156586092238812,-2.31234793339723,40.4755783841001,"COX7B;KCNG4;ATP2A3;ATP5C1;ATP5G3;COX6A1;ATP5G1;SLC8A1;SLC8A2;NNT;SLC39A6;UQCRFS1;SCN5A;KCNH2;COX8A;CACNA2D2;SLC30A1;KCNAB2;ATP1B2;ATP1B1;SLC39A14;STIM1;KCNQ3;UQCRC1;GAS6;RHCG;ATP6V0D2;KCNE4;TTYH1;ATP5A1;ITPR2;ATP1A3;SLC3A2;TRPM1;ATP5B;CACNG7;ATP6V1H;KCNN2;SLC17A7;ATP6V0A4;ATP6V1C1;COX10;TRPM4;SLC31A1;TRPV2;ATP2B4;ATP2B2;COX6C;MCOLN1;HCN2"
"8","pyruvate metabolic process (GO:0006090)","18/71",5.64376566762628e-09,3.66750705634581e-06,5.36140426220821e-07,0.00034840192030583,-2.12336265706244,40.3284203490019,"PFKFB2;GPI;PDHX;PDHA1;SLC16A1;ACOT12;OGDHL;ENO2;HK2;HK1;PDP1;MPC2;OGDH;PDK4;ALDOC;DLAT;PFKP;PGM1"
"9","blood coagulation (GO:0007596)","51/472",9.26145499038661e-08,3.61104130075174e-05,9.28564822112979e-06,0.0036204742414185,-2.36145368861528,38.2433164365915,"WDR1;ITGB3;ATP2A3;SLC7A11;SLC8A1;SLC8A2;ENPP4;JAK2;ABCC4;PRKCB;HBE1;ATP1B2;ATP1B1;TUBA4A;STIM1;SLC7A8;PRKAR1A;GAS6;CD44;MGLL;PDE9A;AK3;ITPR2;PRCP;SLC3A2;RASGRP2;FBLN5;PAPSS2;PIK3R5;AKAP1;LMAN1;FLNA;KIF3C;A2M;SH2B3;PTPN1;TGFB2;TGFB1;SLC16A1;HSPA5;CAV1;HPS4;FN1;ATP2B4;RAB27A;CABLES1;ATP2B2;HPS5;MERTK;PTK2;ITGA10"
"10","coagulation (GO:0050817)","51/472",9.26145499038661e-08,3.61104130075174e-05,9.28564822112979e-06,0.0036204742414185,-2.35885488077319,38.2012292124626,"WDR1;ITGB3;ATP2A3;SLC7A11;SLC8A1;SLC8A2;ENPP4;JAK2;ABCC4;PRKCB;HBE1;ATP1B2;ATP1B1;TUBA4A;STIM1;SLC7A8;PRKAR1A;GAS6;CD44;MGLL;PDE9A;AK3;ITPR2;SLC3A2;PRCP;RASGRP2;FBLN5;PAPSS2;PIK3R5;AKAP1;LMAN1;FLNA;KIF3C;A2M;SH2B3;PTPN1;TGFB2;TGFB1;SLC16A1;HSPA5;CAV1;HPS4;ATP2B4;FN1;CABLES1;RAB27A;ATP2B2;HPS5;MERTK;PTK2;ITGA10"
"11","organophosphate biosynthetic process (GO:0090407)","46/436",7.77074849026287e-07,0.000240900605030044,4.34115127287059e-05,0.0113562095580584,-2.41035225148917,33.9081826551705,"CDS1;TSTA3;ISYNA1;PGAP2;ATP5A1;AK3;ATP1A3;ATP5C1;PIK3R3;ADCY2;ADM;ATP5G3;PLD1;ATP5G1;PLB1;PAPSS2;PIK3R5;ATP5B;PTDSS1;UGP2;SPTLC2;IMPA1;UCN2;NAMPT;GMPPA;PIP4K2A;UPP1;FADS1;TGFB1;GK;CHKA;DGAT1;SACM1L;GFPT1;CHCHD10;HADHB;UGDH;HADHA;PHOSPHO1;PLSCR1;FABP5;SYNJ1;CHPT1;GPD1L;MGLL;CDS2"
