,index,expt.id,expt.date,plate.name,plate.id,well,uid,cell.line,time,drug1,drug1.conc,drug1.units,drug2,drug2.conc,drug2.units,cell.count,ch2.pos,image.time,orig.cell.count,rate,rate.95ci
0,0,HTS022,2017-10-28,1799-R1,97984,B03,1799-R1_B03,WM1799,2.3,dabrafenib,0.0000004,M,selumetinib,0.000004,M,81,0,2017-10-27 16:15:06,81,-0.00372,0.00066
1,1,HTS022,2017-10-28,1799-R1,97984,B04,1799-R1_B04,WM1799,2.3,dabrafenib,0.0000004,M,selumetinib,0.000001,M,83,0,2017-10-27 16:15:06,83,0.00767,0.0029
2,2,HTS022,2017-10-28,1799-R1,97984,B05,1799-R1_B05,WM1799,2.3,dabrafenib,0.0000004,M,selumetinib,0.00000025,M,66,0,2017-10-27 16:15:06,66,-0.00132,0.0005
3,3,HTS022,2017-10-28,1799-R1,97984,B06,1799-R1_B06,WM1799,2.3,dabrafenib,0.0000004,M,selumetinib,0.000000063,M,89,0,2017-10-27 16:15:06,89,0.00335,0.00117
4,4,HTS022,2017-10-28,1799-R1,97984,B07,1799-R1_B07,WM1799,2.3,dabrafenib,0.0000004,M,selumetinib,0.000000016,M,89,1,2017-10-27 16:15:06,89,-0.00209,0.00082
5,5,HTS022,2017-10-28,1799-R1,97984,B08,1799-R1_B08,WM1799,2.3,dabrafenib,0.0000004,M,selumetinib,3.9E-09,M,75,1,2017-10-27 16:15:06,75,0.00323,0.00118
6,6,HTS022,2017-10-28,1799-R1,97984,B09,1799-R1_B09,WM1799,2.3,dabrafenib,0.0000004,M,selumetinib,0.000000001,M,59,0,2017-10-27 16:15:06,59,-0.00452,0.0012
7,7,HTS022,2017-10-28,1799-R1,97984,B10,1799-R1_B10,WM1799,2.3,dabrafenib,0.0000004,M,selumetinib,2.4E-10,M,94,0,2017-10-27 16:15:06,94,-0.00146,0.00079
8,8,HTS022,2017-10-28,1799-R1,97984,B11,1799-R1_B11,WM1799,2.3,dabrafenib,0.0000004,M,selumetinib,6.1E-11,M,84,0,2017-10-27 16:15:06,84,0.00248,0.00069
9,9,HTS022,2017-10-28,1799-R1,97984,B12,1799-R1_B12,WM1799,2.3,dabrafenib,0.0000004,M,control,0,M,76,0,2017-10-27 16:15:06,76,-0.00143,0.00059
10,10,HTS022,2017-10-28,1799-R1,97984,B13,1799-R1_B13,WM1799,2.3,dabrafenib,0.0000004,M,cobimetinib,0.0000008,M,73,1,2017-10-27 16:15:06,73,-0.00186,0.00034
11,11,HTS022,2017-10-28,1799-R1,97984,B14,1799-R1_B14,WM1799,2.3,dabrafenib,0.0000004,M,cobimetinib,0.0000002,M,64,0,2017-10-27 16:15:06,64,-0.00507,0.00129
12,12,HTS022,2017-10-28,1799-R1,97984,B15,1799-R1_B15,WM1799,2.3,dabrafenib,0.0000004,M,cobimetinib,0.00000005,M,49,0,2017-10-27 16:15:06,49,-0.00423,0.00063
13,13,HTS022,2017-10-28,1799-R1,97984,B16,1799-R1_B16,WM1799,2.3,dabrafenib,0.0000004,M,cobimetinib,0.000000012,M,62,0,2017-10-27 16:15:06,62,0.0049,0.00108
14,14,HTS022,2017-10-28,1799-R1,97984,B17,1799-R1_B17,WM1799,2.3,dabrafenib,0.0000004,M,cobimetinib,3.1E-09,M,38,0,2017-10-27 16:15:06,38,-0.0034,0.00055
15,15,HTS022,2017-10-28,1799-R1,97984,B18,1799-R1_B18,WM1799,2.3,dabrafenib,0.0000004,M,cobimetinib,7.8E-10,M,74,0,2017-10-27 16:15:06,74,-0.00224,0.00158
16,16,HTS022,2017-10-28,1799-R1,97984,B19,1799-R1_B19,WM1799,2.3,dabrafenib,0.0000004,M,cobimetinib,2E-10,M,72,0,2017-10-27 16:15:06,72,0.00153,0.00046
