expt.id,expt.date,plate.name,plate.id,well,uid,cell.line,drug1,drug1.conc,drug1.units,drug2,drug2.conc,drug2.units,rate,rate.95ci,cld,cld2
HTS017,2017-07-07,PC9AZR-O1,94980,B03,PC9AZR-O1_B03,PC9AZR,osimertinib,0.000001,M,foretinib,0.000004,M,0.00344,0.00088,PC9AZR_osimertinib,PC9AZR_osimertinib_foretinib
HTS017,2017-07-07,PC9AZR-O1,94980,C03,PC9AZR-O1_C03,PC9AZR,osimertinib,0.00000025,M,foretinib,0.000004,M,0.00566,0.00106,PC9AZR_osimertinib,PC9AZR_osimertinib_foretinib
HTS017,2017-07-07,PC9AZR-O1,94980,D03,PC9AZR-O1_D03,PC9AZR,osimertinib,0.000000063,M,foretinib,0.000004,M,0.00559,0.00187,PC9AZR_osimertinib,PC9AZR_osimertinib_foretinib
HTS017,2017-07-07,PC9AZR-O1,94980,E03,PC9AZR-O1_E03,PC9AZR,osimertinib,0.000000016,M,foretinib,0.000004,M,0.00492,0.00113,PC9AZR_osimertinib,PC9AZR_osimertinib_foretinib
HTS017,2017-07-07,PC9AZR-O1,94980,F03,PC9AZR-O1_F03,PC9AZR,osimertinib,3.9E-09,M,foretinib,0.000004,M,0.0076,0.00062,PC9AZR_osimertinib,PC9AZR_osimertinib_foretinib
HTS017,2017-07-07,PC9AZR-O1,94980,G03,PC9AZR-O1_G03,PC9AZR,osimertinib,0.000000001,M,foretinib,0.000004,M,0.01012,0.0008,PC9AZR_osimertinib,PC9AZR_osimertinib_foretinib
HTS017,2017-07-07,PC9AZR-O1,94980,H03,PC9AZR-O1_H03,PC9AZR,osimertinib,0,M,foretinib,0.000004,M,0.01163,0.00042,PC9AZR_osimertinib,PC9AZR_osimertinib_foretinib
HTS017,2017-07-07,PC9AZR-O1,94980,I03,PC9AZR-O1_I03,PC9AZR,osimertinib,0.000001,M,buparlisib,0.000004,M,0.00749,0.0009,PC9AZR_osimertinib,PC9AZR_osimertinib_buparlisib
HTS017,2017-07-07,PC9AZR-O1,94980,J03,PC9AZR-O1_J03,PC9AZR,osimertinib,0.00000025,M,buparlisib,0.000004,M,0.00741,0.00042,PC9AZR_osimertinib,PC9AZR_osimertinib_buparlisib
HTS017,2017-07-07,PC9AZR-O1,94980,K03,PC9AZR-O1_K03,PC9AZR,osimertinib,0.000000063,M,buparlisib,0.000004,M,0.00646,0.00081,PC9AZR_osimertinib,PC9AZR_osimertinib_buparlisib
HTS017,2017-07-07,PC9AZR-O1,94980,L03,PC9AZR-O1_L03,PC9AZR,osimertinib,0.000000016,M,buparlisib,0.000004,M,0.00377,0.00114,PC9AZR_osimertinib,PC9AZR_osimertinib_buparlisib
HTS017,2017-07-07,PC9AZR-O1,94980,M03,PC9AZR-O1_M03,PC9AZR,osimertinib,3.9E-09,M,buparlisib,0.000004,M,0.00601,0.00092,PC9AZR_osimertinib,PC9AZR_osimertinib_buparlisib
HTS017,2017-07-07,PC9AZR-O1,94980,N03,PC9AZR-O1_N03,PC9AZR,osimertinib,0.000000001,M,buparlisib,0.000004,M,0.0021,0.00028,PC9AZR_osimertinib,PC9AZR_osimertinib_buparlisib
HTS017,2017-07-07,PC9AZR-O1,94980,O03,PC9AZR-O1_O03,PC9AZR,osimertinib,0,M,buparlisib,0.000004,M,0.00505,0.00082,PC9AZR_osimertinib,PC9AZR_osimertinib_buparlisib
HTS017,2017-07-07,PC9AZR-O1,94980,O04,PC9AZR-O1_O04,PC9AZR,osimertinib,0,M,buparlisib,0.000001,M,0.03401,0.00067,PC9AZR_osimertinib,PC9AZR_osimertinib_buparlisib
HTS017,2017-07-07,PC9AZR-O1,94980,N04,PC9AZR-O1_N04,PC9AZR,osimertinib,0.000000001,M,buparlisib,0.000001,M,0.023,0.00095,PC9AZR_osimertinib,PC9AZR_osimertinib_buparlisib
HTS017,2017-07-07,PC9AZR-O1,94980,M04,PC9AZR-O1_M04,PC9AZR,osimertinib,3.9E-09,M,buparlisib,0.000001,M,0.02064,0.00139,PC9AZR_osimertinib,PC9AZR_osimertinib_buparlisib
HTS017,2017-07-07,PC9AZR-O1,94980,L04,PC9AZR-O1_L04,PC9AZR,osimertinib,0.000000016,M,buparlisib,0.000001,M,0.01771,0.00106,PC9AZR_osimertinib,PC9AZR_osimertinib_buparlisib
HTS017,2017-07-07,PC9AZR-O1,94980,K04,PC9AZR-O1_K04,PC9AZR,osimertinib,0.000000063,M,buparlisib,0.000001,M,0.02092,0.00111,PC9AZR_osimertinib,PC9AZR_osimertinib_buparlisib
HTS017,2017-07-07,PC9AZR-O1,94980,J04,PC9AZR-O1_J04,PC9AZR,osimertinib,0.00000025,M,buparlisib,0.000001,M,0.0217,0.00123,PC9AZR_osimertinib,PC9AZR_osimertinib_buparlisib
HTS017,2017-07-07,PC9AZR-O1,94980,I04,PC9AZR-O1_I04,PC9AZR,osimertinib,0.000001,M,buparlisib,0.000001,M,0.01634,0.00113,PC9AZR_osimertinib,PC9AZR_osimertinib_buparlisib
HTS017,2017-07-07,PC9AZR-O1,94980,H04,PC9AZR-O1_H04,PC9AZR,osimertinib,0,M,foretinib,0.000001,M,0.02907,0.00113,PC9AZR_osimertinib,PC9AZR_osimertinib_foretinib
HTS017,2017-07-07,PC9AZR-O1,94980,G04,PC9AZR-O1_G04,PC9AZR,osimertinib,0.000000001,M,foretinib,0.000001,M,0.0274,0.00109,PC9AZR_osimertinib,PC9AZR_osimertinib_foretinib
HTS017,2017-07-07,PC9AZR-O1,94980,F04,PC9AZR-O1_F04,PC9AZR,osimertinib,3.9E-09,M,foretinib,0.000001,M,0.03031,0.00105,PC9AZR_osimertinib,PC9AZR_osimertinib_foretinib
HTS017,2017-07-07,PC9AZR-O1,94980,E04,PC9AZR-O1_E04,PC9AZR,osimertinib,0.000000016,M,foretinib,0.000001,M,0.01905,0.00078,PC9AZR_osimertinib,PC9AZR_osimertinib_foretinib
HTS017,2017-07-07,PC9AZR-O1,94980,D04,PC9AZR-O1_D04,PC9AZR,osimertinib,0.000000063,M,foretinib,0.000001,M,0.01995,0.00103,PC9AZR_osimertinib,PC9AZR_osimertinib_foretinib
HTS017,2017-07-07,PC9AZR-O1,94980,C04,PC9AZR-O1_C04,PC9AZR,osimertinib,0.00000025,M,foretinib,0.000001,M,0.02167,0.00135,PC9AZR_osimertinib,PC9AZR_osimertinib_foretinib
HTS017,2017-07-07,PC9AZR-O1,94980,B04,PC9AZR-O1_B04,PC9AZR,osimertinib,0.000001,M,foretinib,0.000001,M,0.02098,0.00065,PC9AZR_osimertinib,PC9AZR_osimertinib_foretinib
HTS017,2017-07-07,PC9AZR-O1,94980,B05,PC9AZR-O1_B05,PC9AZR,osimertinib,0.000001,M,foretinib,0.00000025,M,0.03109,0.00048,PC9AZR_osimertinib,PC9AZR_osimertinib_foretinib
HTS017,2017-07-07,PC9AZR-O1,94980,C05,PC9AZR-O1_C05,PC9AZR,osimertinib,0.00000025,M,foretinib,0.00000025,M,0.03629,0.00036,PC9AZR_osimertinib,PC9AZR_osimertinib_foretinib
HTS017,2017-07-07,PC9AZR-O1,94980,D05,PC9AZR-O1_D05,PC9AZR,osimertinib,0.000000063,M,foretinib,0.00000025,M,0.03279,0.00058,PC9AZR_osimertinib,PC9AZR_osimertinib_foretinib
HTS017,2017-07-07,PC9AZR-O1,94980,E05,PC9AZR-O1_E05,PC9AZR,osimertinib,0.000000016,M,foretinib,0.00000025,M,0.03776,0.00045,PC9AZR_osimertinib,PC9AZR_osimertinib_foretinib
HTS017,2017-07-07,PC9AZR-O1,94980,F05,PC9AZR-O1_F05,PC9AZR,osimertinib,3.9E-09,M,foretinib,0.00000025,M,0.0351,0.00049,PC9AZR_osimertinib,PC9AZR_osimertinib_foretinib
HTS017,2017-07-07,PC9AZR-O1,94980,G05,PC9AZR-O1_G05,PC9AZR,osimertinib,0.000000001,M,foretinib,0.00000025,M,0.03868,0.00073,PC9AZR_osimertinib,PC9AZR_osimertinib_foretinib
HTS017,2017-07-07,PC9AZR-O1,94980,H05,PC9AZR-O1_H05,PC9AZR,osimertinib,0,M,foretinib,0.00000025,M,0.03509,0.00052,PC9AZR_osimertinib,PC9AZR_osimertinib_foretinib
HTS017,2017-07-07,PC9AZR-O1,94980,I05,PC9AZR-O1_I05,PC9AZR,osimertinib,0.000001,M,buparlisib,0.00000025,M,0.02272,0.00081,PC9AZR_osimertinib,PC9AZR_osimertinib_buparlisib
HTS017,2017-07-07,PC9AZR-O1,94980,J05,PC9AZR-O1_J05,PC9AZR,osimertinib,0.00000025,M,buparlisib,0.00000025,M,0.02952,0.00053,PC9AZR_osimertinib,PC9AZR_osimertinib_buparlisib
HTS017,2017-07-07,PC9AZR-O1,94980,K05,PC9AZR-O1_K05,PC9AZR,osimertinib,0.000000063,M,buparlisib,0.00000025,M,0.0283,0.00075,PC9AZR_osimertinib,PC9AZR_osimertinib_buparlisib
HTS017,2017-07-07,PC9AZR-O1,94980,L05,PC9AZR-O1_L05,PC9AZR,osimertinib,0.000000016,M,buparlisib,0.00000025,M,0.02842,0.00052,PC9AZR_osimertinib,PC9AZR_osimertinib_buparlisib
HTS017,2017-07-07,PC9AZR-O1,94980,M05,PC9AZR-O1_M05,PC9AZR,osimertinib,3.9E-09,M,buparlisib,0.00000025,M,0.0287,0.00082,PC9AZR_osimertinib,PC9AZR_osimertinib_buparlisib
HTS017,2017-07-07,PC9AZR-O1,94980,N05,PC9AZR-O1_N05,PC9AZR,osimertinib,0.000000001,M,buparlisib,0.00000025,M,0.03093,0.0004,PC9AZR_osimertinib,PC9AZR_osimertinib_buparlisib
HTS017,2017-07-07,PC9AZR-O1,94980,O05,PC9AZR-O1_O05,PC9AZR,osimertinib,0,M,buparlisib,0.00000025,M,0.03399,0.00081,PC9AZR_osimertinib,PC9AZR_osimertinib_buparlisib
