"expt.id","expt.date","plate.name","plate.id","well","uid","cell.line","drug1","drug1.conc","drug1.units","drug2","drug2.conc","drug2.units","orig.cell.count","rate","rate.95ci","cld","cld2"
"HTS018","2017-07-28","BR1-O1a",NA,"A01","BR1-O1a_A01","BR1","control",0,"M","control",0,"M",NA,0.03855,7e-05,"BR1_control","BR1_control_control"
"HTS018","2017-07-28","BR1-O1b",NA,"A01","BR1-O1b_A01","BR1","control",0,"M","control",0,"M",NA,0.03799,6e-05,"BR1_control","BR1_control_control"
"HTS018","2017-07-28","BR1-O2a",NA,"A01","BR1-O2a_A01","BR1","control",0,"M","control",0,"M",NA,0.03723,1e-04,"BR1_control","BR1_control_control"
"HTS018","2017-07-28","BR1-O2b",NA,"A01","BR1-O2b_A01","BR1","control",0,"M","control",0,"M",NA,0.03756,5e-05,"BR1_control","BR1_control_control"
"HTS018","2017-07-28","BR1-O3a",NA,"A01","BR1-O3a_A01","BR1","control",0,"M","control",0,"M",NA,0.03829,9e-05,"BR1_control","BR1_control_control"
"HTS018","2017-07-28","BR1-O3b",NA,"A01","BR1-O3b_A01","BR1","control",0,"M","control",0,"M",NA,0.03877,7e-05,"BR1_control","BR1_control_control"
"HTS018","2017-07-28","BR1-O4a",NA,"A01","BR1-O4a_A01","BR1","control",0,"M","control",0,"M",NA,0.03835,7e-05,"BR1_control","BR1_control_control"
"HTS018","2017-07-28","BR1-O4b",NA,"A01","BR1-O4b_A01","BR1","control",0,"M","control",0,"M",NA,0.038,6e-05,"BR1_control","BR1_control_control"
"HTS018","2017-07-28","BR1-O5a",NA,"A01","BR1-O5a_A01","BR1","control",0,"M","control",0,"M",NA,0.03672,8e-05,"BR1_control","BR1_control_control"
"HTS018","2017-07-28","BR1-O5b",NA,"A01","BR1-O5b_A01","BR1","control",0,"M","control",0,"M",NA,0.03604,1e-04,"BR1_control","BR1_control_control"
"HTS018","2017-07-28","BR1-O6a",NA,"A01","BR1-O6a_A01","BR1","control",0,"M","control",0,"M",NA,0.03631,9e-05,"BR1_control","BR1_control_control"
"HTS018","2017-07-28","BR1-O6b",NA,"A01","BR1-O6b_A01","BR1","control",0,"M","control",0,"M",NA,0.03691,0.00011,"BR1_control","BR1_control_control"
"HTS018","2017-07-28","BR1-O7a",NA,"A01","BR1-O7a_A01","BR1","control",0,"M","control",0,"M",NA,0.03642,7e-05,"BR1_control","BR1_control_control"
"HTS018","2017-07-28","BR1-O7b",NA,"A01","BR1-O7b_A01","BR1","control",0,"M","control",0,"M",NA,0.03743,6e-05,"BR1_control","BR1_control_control"
"HTS018","2017-07-28","BR1-O1a",95676,"H03","BR1-O1a_H03","BR1","osimertinib",0,"M","cisplatin",4e-07,"M",86,0.01914,0.00151,"BR1_osimertinib","BR1_osimertinib_cisplatin"
"HTS018","2017-07-28","BR1-O1a",95676,"H04","BR1-O1a_H04","BR1","osimertinib",0,"M","cisplatin",1e-07,"M",90,0.03751,0.00095,"BR1_osimertinib","BR1_osimertinib_cisplatin"
"HTS018","2017-07-28","BR1-O1a",95676,"H05","BR1-O1a_H05","BR1","osimertinib",0,"M","cisplatin",2.5e-08,"M",63,0.04254,0.0011,"BR1_osimertinib","BR1_osimertinib_cisplatin"
"HTS018","2017-07-28","BR1-O1a",95676,"H06","BR1-O1a_H06","BR1","osimertinib",0,"M","cisplatin",6.2e-09,"M",94,0.036,0.00161,"BR1_osimertinib","BR1_osimertinib_cisplatin"
"HTS018","2017-07-28","BR1-O1a",95676,"H07","BR1-O1a_H07","BR1","osimertinib",0,"M","cisplatin",1.6e-09,"M",62,0.03794,0.00117,"BR1_osimertinib","BR1_osimertinib_cisplatin"
